Mar 24 15:00:51 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Mar 24 15:00:51 ubuntu dstat.sh[65379]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Mar 24 15:00:51 ubuntu dstat.sh[65379]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 24 15:07:37 ubuntu dstat.sh[65379]: 24-03 15:07:37| 18   2  78   0   0|5196M  288M  171M 2164M|  14k 6542B| 164k 1119k|20.0  24.0 |2203  2034 |1.59 1.78 1.09|1.0   0  16|   0     0 |           | 18  321    0   25    0
Mar 24 15:07:38 ubuntu dstat.sh[65379]: 24-03 15:07:38| 15   2  81   2   0|5207M  276M  171M 2166M|  24k   15k| 884k 2225k|67.0  93.1 |2420  2728 |1.54 1.76 1.09|  0 1.0   0|   0     0 |           | 18  321    0   25    0
Mar 24 15:07:39 ubuntu dstat.sh[65379]: 24-03 15:07:39| 17   2  79   0   0|5235M  247M  171M 2167M|  19k   10k|1152k 1308k|54.0  55.0 |2160  2130 |1.54 1.76 1.09|3.0   0   0|   0     0 |           | 18  321    0   25    0
Mar 24 15:07:40 ubuntu dstat.sh[65379]: 24-03 15:07:40| 16   1  81   1   0|5248M  232M  171M 2168M|  21k   12k| 943k 1315k|53.0  48.0 |2031  2074 |1.54 1.76 1.09|1.0   0   0|   0     0 |           | 18  321    0   25    0
Mar 24 15:07:41 ubuntu dstat.sh[65379]: 24-03 15:07:41| 17   2  78   2   0|5251M  202M  171M 2196M|  18k   10k|  12M 1619k| 145  68.1 |2545  2672 |1.54 1.76 1.09|1.0 1.0 1.0|   0     0 |           | 18  321    0   25    0
Mar 24 15:07:42 ubuntu dstat.sh[65379]: 24-03 15:07:42| 24   4  71   1   0|5268M  169M  171M 2210M|4248B 1721B|   0  2373k|   0  72.0 |2681  2598 |1.54 1.76 1.09|1.0   0   0|   0     0 |           | 18  321    0   24    0
Mar 24 15:07:43 ubuntu dstat.sh[65379]: 24-03 15:07:43| 30   5  65   0   0|5287M  135M  171M 2226M|4355B 1513B|   0  1149k|   0  38.0 |2766  2282 |1.50 1.75 1.09|1.0 1.0 3.0|   0     0 |           | 18  321    0   24    0
Mar 24 15:07:44 ubuntu dstat.sh[65379]: 24-03 15:07:44| 39  11  47   1   0|5301M  133M  172M 2215M|4531B 1561B| 766k 3708k|5.98   162 |4417  3604 |1.50 1.75 1.09|3.0   0  11|   0     0 |           | 18  321    0   24    0
Mar 24 15:07:45 ubuntu dstat.sh[65379]: 24-03 15:07:45| 30   5  64   1   0|5283M  144M  173M 2220M|4859B 1515B| 257k 2577k|2.00  99.2 |3367  3151 |1.50 1.75 1.09|1.0   0 1.0|   0     0 |           | 18  321    0   24    0
Mar 24 15:07:46 ubuntu dstat.sh[65379]: 24-03 15:07:46| 24   3  72   1   0|5236M  203M  173M 2208M|4713B 1742B|8201B 1498k|2.00  44.1 |2596  2317 |1.50 1.75 1.09|1.0   0  18|   0     0 |           | 18  320    0   24    0
Mar 24 15:07:47 ubuntu dstat.sh[65379]: 24-03 15:07:47| 20   3  76   0   0|5225M  210M  173M 2212M|  10k 3855B|8178B 1226k|2.00  14.0 |2388  2116 |1.50 1.75 1.09|1.0   0  18|   0     0 |           | 18  320    0   24    0
Mar 24 15:07:48 ubuntu dstat.sh[65379]: 24-03 15:07:48| 20   3  75   0   0|5240M  193M  173M 2214M|8302B 3603B|   0   756k|   0  27.0 |2554  2596 |1.46 1.74 1.09|  0 1.0  18|   0     0 |           | 18  321    0   24    0
Mar 24 15:07:49 ubuntu dstat.sh[65379]: 24-03 15:07:49| 22   6  70   0   0|5223M  205M  173M 2219M|7240B 2674B|   0   960k|   0  23.0 |  11k   19k|1.46 1.74 1.09|2.0   0  14|   0     0 |           | 18  320    0   24    0
Mar 24 15:07:50 ubuntu dstat.sh[65379]: 24-03 15:07:50| 24   6  68   0   0|5224M  203M  173M 2219M|4669B 1512B|   0  1748k|   0  24.0 |  10k   19k|1.46 1.74 1.09|1.0 1.0  13|   0     0 |           | 18  320    0   22    0
Mar 24 15:07:51 ubuntu dstat.sh[65379]: 24-03 15:07:51| 21   6  70   0   0|5180M  259M  173M 2208M|4655B 1604B|   0  2474k|   0   255 |3041  2732 |1.46 1.74 1.09|3.0   0  19|   0     0 |           | 18  320    0   22    0
Mar 24 15:07:52 ubuntu dstat.sh[65379]: 24-03 15:07:52| 23   6  68   0   0|5195M  244M  173M 2208M|4328B 1623B|   0    14M|   0  76.1 |  10k   19k|1.46 1.74 1.09|4.0   0  48|   0     0 |           | 18  320    0   22    0
Mar 24 15:07:53 ubuntu dstat.sh[65379]: 24-03 15:07:53| 18   4  76   0   0|5211M  227M  173M 2208M|  10k 3803B|   0   204k|   0  13.0 |2425  2185 |1.42 1.72 1.09|1.0   0  33|   0     0 |           | 18  321    0   22    0
Mar 24 15:07:54 ubuntu dstat.sh[65379]: 24-03 15:07:54| 23   4  72   0   0|5195M  238M  173M 2214M|4654B 1791B|   0   835k|   0  22.0 |2478  2230 |1.42 1.72 1.09|1.0   0 4.0|   0     0 |           | 18  320    0   22    0
Mar 24 15:07:55 ubuntu dstat.sh[65379]: 24-03 15:07:55| 18   4  77   0   0|5191M  237M  174M 2219M|  12k 4629B|   0  1260k|   0  24.0 |2175  1982 |1.42 1.72 1.09|1.0   0  19|   0     0 |           | 18  320    0   22    0
Mar 24 15:07:56 ubuntu dstat.sh[65379]: 24-03 15:07:56| 24   7  66   0   0|5196M  231M  174M 2219M|4563B 1621B|   0    84k|   0  1.00 |  17k   34k|1.42 1.72 1.09|2.0   0  16|   0     0 |           | 18  320    0   22    0
Mar 24 15:07:57 ubuntu dstat.sh[65379]: 24-03 15:07:57| 20   8  72   0   0|5170M  268M  174M 2208M|5039B 1620B|   0   648k|   0  13.0 |2680  2219 |1.42 1.72 1.09|1.0   0  16|   0     0 |           | 18  320    0   22    0
Mar 24 15:07:58 ubuntu dstat.sh[65379]: 24-03 15:07:58| 23   4  71   0   0|5202M  237M  174M 2208M|4840B 1564B|  28k  751k|2.00  19.0 |2788  2539 |1.39 1.71 1.09|3.0   0  21|   0     0 |           | 18  320    0   22    0
Mar 24 15:07:59 ubuntu dstat.sh[65379]: 24-03 15:07:59| 21   7  71   0   0|5181M  251M  174M 2215M|4562B 1136B|   0  1198k|   0  43.1 |3566  3419 |1.39 1.71 1.09|3.0   0  99|   0     0 |           | 18  320    0   22    0
Mar 24 15:08:00 ubuntu dstat.sh[65379]: 24-03 15:08:00| 24   3  71   0   0|5201M  226M  174M 2219M|5673B 1731B|   0  1002k|   0  30.9 |2806  2724 |1.39 1.71 1.09|2.0   0  16|   0     0 |           | 18  321    0   22    0
Mar 24 15:08:01 ubuntu dstat.sh[65379]: 24-03 15:08:01| 13   2  83   1   0|5215M  211M  174M 2219M|  22k   11k|   0  1320k|   0  55.0 |2186  2479 |1.39 1.71 1.09|1.0 1.0   0|   0     0 |           | 18  321    0   22    0
Mar 24 15:08:02 ubuntu dstat.sh[65379]: 24-03 15:08:02| 10   3  87   1   0|5214M  213M  174M 2219M|  47k   11k|   0  8010k|   0   255 |1969  2104 |1.39 1.71 1.09|1.0   0 6.0|   0     0 |           | 18  322    0   19    0
Mar 24 15:08:03 ubuntu dstat.sh[65379]: 24-03 15:08:03| 10   1  85   0   0|5221M  206M  174M 2220M| 126k   12k|   0  1621k|   0  58.9 |2005  2202 |1.28 1.68 1.08|1.0 1.0   0|   0     0 |           | 18  322    0   19    0
Mar 24 15:08:04 ubuntu dstat.sh[65379]: 24-03 15:08:04| 19   3  76   1   0|5241M  185M  174M 2220M|  21k   11k|   0  1345k|   0  60.1 |3814  5214 |1.28 1.68 1.08|7.0   0 2.0|   0     0 |           | 18  322    0   19    0
Mar 24 15:08:05 ubuntu dstat.sh[65379]: 24-03 15:08:05| 19   2  78   1   0|5257M  169M  174M 2220M| 295k   17k|   0  1346k|   0  39.1 |2872  2600 |1.28 1.68 1.08|  0   0   0|   0     0 |           | 18  322    0   21    0
Mar 24 15:08:06 ubuntu dstat.sh[65379]: 24-03 15:08:06|  9   2  86   2   0|5256M  169M  174M 2221M| 111k   19k|  28k 2794k|4.00   126 |2576  2922 |1.28 1.68 1.08|1.0   0   0|   0     0 |           | 18  322    0   19    0
Mar 24 15:08:07 ubuntu dstat.sh[65379]: 24-03 15:08:07| 15   2  80   1   0|5258M  159M  174M 2230M|  26k   13k| 104k   13M|6.00   293 |2223  2232 |1.28 1.68 1.08|  0   0   0|   0     0 |           | 18  322    0   19    0
Mar 24 15:08:08 ubuntu dstat.sh[65379]: 24-03 15:08:08|  4   2  90   0   0|5261M  149M  174M 2235M|2873k   56k|  16k 2183k|1.00  47.0 |4199  4065 |1.17 1.66 1.08|  0 2.0 2.0|   0     0 |           | 18  322    0   19    0
Mar 24 15:08:09 ubuntu dstat.sh[65379]: 24-03 15:08:09|  7   3  86   1   0|5253M  144M  175M 2249M|7215k   75k|   0  7915k|   0   194 |5522  4736 |1.17 1.66 1.08|2.0   0 2.0|   0     0 |           | 18  322    0   19    0
Mar 24 15:08:10 ubuntu dstat.sh[65379]: 24-03 15:08:10|  8   3  86   1   0|5252M  123M  175M 2271M|7403k   75k| 164k   13M|4.00  79.1 |4800  3544 |1.17 1.66 1.08|1.0   0 1.0|   0     0 |           | 18  322    0   15    0
Mar 24 15:08:11 ubuntu dstat.sh[65379]: 24-03 15:08:11| 23   4  71   1   0|5256M  121M  177M 2266M|4743B 1621B|   0  4666k|   0   115 |3021  2994 |1.17 1.66 1.08|3.0   0 1.0|   0     0 |           | 18  322    0   15    0
Mar 24 15:08:12 ubuntu dstat.sh[65379]: 24-03 15:08:12| 24   4  71   0   0|5249M  123M  178M 2269M|3055B  484B|   0  5854k|   0  68.7 |2610  2482 |1.17 1.66 1.08|3.0   0   0|   0     0 |           | 18  322    0   15    0
Mar 24 15:08:13 ubuntu dstat.sh[65379]: 24-03 15:08:13| 23   4  71   1   0|5250M  131M  179M 2260M|3121B  433B|   0    12M|   0  94.3 |2681  2437 |1.16 1.64 1.08|1.0   0   0|   0     0 |           | 18  322    0   15    0
Mar 24 15:08:14 ubuntu dstat.sh[65379]: 24-03 15:08:14| 23   5  70   1   0|5261M  122M  179M 2259M|4308B 1080B|   0  2507k|   0  84.0 |2714  2640 |1.16 1.64 1.08|3.0   0 3.0|   0     0 |           | 18  322    0   15    0
Mar 24 15:08:15 ubuntu dstat.sh[65379]: 24-03 15:08:15| 24   3  71   1   0|5260M  131M  180M 2249M|5870B 1462B|   0  2586k|   0   118 |2998  3156 |1.16 1.64 1.08|2.0   0   0|   0     0 |           | 18  322    0   11    0
Mar 24 15:08:16 ubuntu dstat.sh[65379]: 24-03 15:08:16| 24   8  66   0   0|5268M  131M  181M 2240M|5801B 1615B|  24k  174M|5.98  1305 |4635  4454 |1.16 1.64 1.08|1.0   0   0|   0     0 |           | 18  322    0   11    0
Mar 24 15:08:17 ubuntu dstat.sh[65379]: 24-03 15:08:17| 28   7  64   1   0|5266M  129M  182M 2243M|4949B 1461B|   0  2786k|   0  97.2 |3687    11k|1.16 1.64 1.08|3.0   0  36|   0     0 |           | 18  322    0   12    0
Mar 24 15:08:18 ubuntu dstat.sh[65379]: 24-03 15:08:18| 20   4  74   0   0|5150M  275M  182M 2212M|  11k 4279B|   0  2063k|   0   173 |2592  2495 |1.07 1.62 1.07|1.0   0 2.0|   0     0 |           | 18  320    0   12    0
Mar 24 15:08:19 ubuntu dstat.sh[65379]: 24-03 15:08:19| 19   5  74   0   0|5210M  215M  182M 2212M|  10k 3626B|   0   797k|   0  22.0 |2547  2198 |1.07 1.62 1.07|1.0   0  33|   0     0 |           | 18  321    0    9    0
Mar 24 15:08:20 ubuntu dstat.sh[65379]: 24-03 15:08:20| 24   4  71   0   0|5202M  217M  182M 2218M|5064B 1799B|   0  1370k|   0  11.0 |2524  2149 |1.07 1.62 1.07|3.0   0 3.0|   0     0 |           | 18  320    0    9    0
Mar 24 15:08:21 ubuntu dstat.sh[65379]: 24-03 15:08:21| 20   4  74   1   0|5212M  201M  182M 2223M|  11k 4746B|   0    54M|   0   654 |3557  3453 |1.07 1.62 1.07|1.0   0  20|   0     0 |           | 18  320    0    9    0
Mar 24 15:08:22 ubuntu dstat.sh[65379]: 24-03 15:08:22| 23   7  69   0   0|5210M  202M  182M 2223M|4402B 1459B|   0  2278k|   0  17.0 |  11k   20k|1.07 1.62 1.07|1.0   0  11|   0     0 |           | 18  320    0    9    0
Mar 24 15:08:23 ubuntu dstat.sh[65379]: 24-03 15:08:23| 22   8  67   0   0|5213M  199M  182M 2223M|4928B 1619B|   0   468k|   0  13.0 |  10k   19k|1.06 1.61 1.07|2.0   0  19|   0     0 |           | 18  320    0    7    0
Mar 24 15:08:24 ubuntu dstat.sh[65379]: 24-03 15:08:24| 22   6  70   0   0|5182M  242M  182M 2212M|4857B 1661B|   0  1207k|   0  41.0 |2685  2468 |1.06 1.61 1.07|2.0   0 7.0|   0     0 |           | 18  320    0    7    0
Mar 24 15:08:25 ubuntu dstat.sh[65379]: 24-03 15:08:25| 23   3  72   0   0|5218M  203M  183M 2215M|4750B 1618B| 635k  144k|13.0  5.99 |2446  2211 |1.06 1.61 1.07|1.0   0   0|   0     0 |           | 18  321    0    7    0
Mar 24 15:08:26 ubuntu dstat.sh[65379]: 24-03 15:08:26| 26   6  65   2   0|5220M  200M  183M 2216M|5009B 1626B| 851k 3698k|53.2   311 |8462    13k|1.06 1.61 1.07|1.0   0 1.0|   0     0 |           | 18  323    0   12    0
Mar 24 15:08:27 ubuntu dstat.sh[65379]: 24-03 15:08:27| 13  17  68   1   0|5180M  239M  183M 2217M|4796B 1619B| 128k 2170k|1.00   159 |6842  7216 |1.06 1.61 1.07|1.0   0 390|   0     0 |           | 18  322    0    9    0
Mar 24 15:08:28 ubuntu dstat.sh[65379]: 24-03 15:08:28| 12   7  71   8   0|5154M  241M  183M 2241M|4821B 1459B|  24M  400k|1526  20.0 |4584  5571 |1.22 1.63 1.08|1.0   0  59|   0     0 |           | 18  322    0   11    0
Mar 24 15:08:29 ubuntu dstat.sh[65379]: 24-03 15:08:29|  8   4  77   9   0|5137M  241M  183M 2259M|5643B 2631B|  18M 3898k|1960   336 |4134  6326 |1.22 1.63 1.08|2.0   0 8.0|   0     0 |           | 18  323    0   11    0
Mar 24 15:08:30 ubuntu dstat.sh[65379]: 24-03 15:08:30|  2   1  95   0   0|5128M  250M  183M 2259M|  25k 3222B|   0  2947k|   0   169 |1822  2904 |1.22 1.63 1.08|1.0   0   0|   0     0 |           | 18  323    0   11    0
Mar 24 15:08:31 ubuntu dstat.sh[65379]: 24-03 15:08:31| 14   6  78   0   0|5124M  254M  183M 2259M| 328k 8894B|  96k  615k|2.00  24.0 |3293  3048 |1.22 1.63 1.08|8.0   0  33|   0     0 |           | 18  318    0   12    0
Mar 24 15:08:32 ubuntu dstat.sh[65379]: 24-03 15:08:32| 50  11  38   1   0|4903M  474M  183M 2259M|6701B 1463B|8221B  534k|2.01  28.1 |3913  2573 |1.22 1.63 1.08|4.0   0 4.0|   0     0 |           | 18  298    0   15    0
Mar 24 15:08:33 ubuntu dstat.sh[65379]: 24-03 15:08:33| 84  16   0   0   0|4915M  462M  183M 2259M|4941B 1080B|   0   184k|   0  18.0 |5282  3255 |1.52 1.69 1.10|4.0   0 4.0|   0     0 |           | 18  285    0   16    0
Mar 24 15:08:34 ubuntu dstat.sh[65379]: 24-03 15:08:34| 85  13   1   0   0|5044M  331M  183M 2261M|5720B 1509B| 160k  531k|5.99  20.0 |6294  8791 |1.52 1.69 1.10|4.0   0 7.0|   0     0 |           | 18  289    0   19    0
Mar 24 15:08:35 ubuntu dstat.sh[65379]: 24-03 15:08:35| 56   8  36   0   0|4983M  392M  183M 2261M|6298B 1565B|   0   504k|   0  30.0 |4680  5357 |1.52 1.69 1.10|1.0   0 4.0|   0     0 |           | 18  283    0   24    0
Mar 24 15:08:36 ubuntu dstat.sh[65379]: 24-03 15:08:36| 24   4  70   0   0|5023M  351M  183M 2262M|5039B 1135B|   0   216k|   0  24.0 |3683  6724 |1.52 1.69 1.10|  0   0 1.0|   0     0 |           | 18  287    0   26    0
Mar 24 15:08:37 ubuntu dstat.sh[65379]: 24-03 15:08:37|  2   1  95   0   0|4997M  377M  183M 2262M|4757B 1458B|   0   276k|   0  45.0 |1541  2212 |1.52 1.69 1.10|1.0   0   0|   0     0 |           | 18  287    0   26    0
Mar 24 15:08:38 ubuntu dstat.sh[65379]: 24-03 15:08:38|  1   1  96   0   0|4988M  386M  183M 2262M|4615B 1566B|   0  1840k|   0   103 |1237  1908 |1.40 1.66 1.09|  0   0   0|   0     0 |           | 18  287    0   26    0
Mar 24 15:08:39 ubuntu dstat.sh[65379]: 24-03 15:08:39|  2   1  96   0   0|4987M  387M  183M 2262M|4529B 1511B|   0   324k|   0  15.0 |1110  1567 |1.40 1.66 1.09|1.0   0   0|   0     0 |           | 18  287    0   26    0
Mar 24 15:08:40 ubuntu dstat.sh[65379]: 24-03 15:08:40|  1   1  96   0   0|4986M  389M  183M 2262M|4633B 1618B|   0  1922k|   0  92.9 |1261  1899 |1.40 1.66 1.09|  0   0   0|   0     0 |           | 18  287    0   26    0
Mar 24 15:08:41 ubuntu dstat.sh[65379]: 24-03 15:08:41|  3   1  94   0   0|4993M  381M  183M 2262M|4452B 1625B|   0   164k|   0  25.1 |1482  2117 |1.40 1.66 1.09|  0   0 1.0|   0     0 |           | 18  289    0   26    0
Mar 24 15:08:42 ubuntu dstat.sh[65379]: 24-03 15:08:42|  1   0  97   0   0|4993M  381M  183M 2262M|4605B 1566B|   0   328k|   0  28.0 |1099  1603 |1.40 1.66 1.09|  0   0   0|   0     0 |           | 18  289    0   26    0
Mar 24 15:08:43 ubuntu dstat.sh[65379]: 24-03 15:08:43|  1   1  97   0   0|4994M  381M  183M 2262M|4744B 1618B|   0     0 |   0     0 |1063  1474 |1.29 1.63 1.09|  0   0   0|   0     0 |           | 18  289    0   26    0
Mar 24 15:08:44 ubuntu dstat.sh[65379]: 24-03 15:08:44|  2   1  96   0   0|4994M  380M  183M 2262M|4719B 1514B|   0    96k|   0  12.0 |1342  1966 |1.29 1.63 1.09|1.0 1.0 3.0|   0     0 |           | 18  289    0   26    0
Mar 24 15:08:45 ubuntu dstat.sh[65379]: 24-03 15:08:45|  1   1  96   0   0|4985M  390M  183M 2262M|5824B 1566B|   0  8350k|   0  1017 |1688  2006 |1.29 1.63 1.09|  0   0   0|   0     0 |           | 18  289    0   26    0
Mar 24 15:08:46 ubuntu dstat.sh[65379]: 24-03 15:08:46|  1   0  97   0   0|4985M  390M  183M 2262M|4758B 1508B|   0     0 |   0     0 |1003  1466 |1.29 1.63 1.09|  0   0   0|   0     0 |           | 18  289    0   26    0
Mar 24 15:08:47 ubuntu dstat.sh[65379]: 24-03 15:08:47|  2   2  95   0   0|4985M  389M  183M 2262M|3612B  704B|  40k   34M|3.01   265 |1701  2369 |1.29 1.63 1.09|1.0   0   0|   0     0 |           | 18  289    0   26    0
Mar 24 15:08:48 ubuntu dstat.sh[65379]: 24-03 15:08:48|  1   0  97   0   0|4985M  389M  183M 2262M|4285B 1293B|   0   778k|   0  21.9 |1018  1507 |1.18 1.60 1.08|  0   0   0|   0     0 |           | 18  289    0   26    0
Mar 24 15:08:49 ubuntu dstat.sh[65379]: 24-03 15:08:49|  1   1  97   0   0|4985M  389M  183M 2262M|4253B 1569B|   0     0 |   0     0 | 987  1456 |1.18 1.60 1.08|1.0   0   0|   0     0 |           | 18  289    0   26    0
Mar 24 15:08:50 ubuntu dstat.sh[65379]: 24-03 15:08:50|  2   0  96   0   0|4985M  389M  183M 2262M|4694B 1619B|   0     0 |   0     0 |1067  1512 |1.18 1.60 1.08|  0   0   0|   0     0 |           | 18  289    0   26    0
Mar 24 15:08:51 ubuntu dstat.sh[65379]: 24-03 15:08:51|  2   1  96   0   0|4985M  389M  183M 2262M|3860B 1459B|   0   124k|   0  16.0 |1401  1975 |1.18 1.60 1.08|  0   0 2.0|   0     0 |           | 18  291    0   26    0
Mar 24 15:08:52 ubuntu dstat.sh[65379]: 24-03 15:08:52|  1   2  96   0   0|4986M  389M  183M 2262M|4381B 1620B|   0    22M|   0   287 |1346  1708 |1.18 1.60 1.08|  0   0   0|   0     0 |           | 18  291    0   26    0
Mar 24 15:08:53 ubuntu dstat.sh[65379]: 24-03 15:08:53|  1   0  97   0   0|4986M  389M  183M 2262M|3355B  917B|   0    32k|   0  4.00 |1034  1508 |1.17 1.59 1.08|  0   0   0|   0     0 |           | 18  291    0   26    0
Mar 24 15:08:54 ubuntu dstat.sh[65379]: 24-03 15:08:54|  2   1  97   0   0|4986M  389M  183M 2262M|4075B 1081B|   0    48k|   0  6.01 |1110  1579 |1.17 1.59 1.08|  0   0 1.0|   0     0 |           | 18  291    0   26    0
Mar 24 15:08:55 ubuntu dstat.sh[65379]: 24-03 15:08:55|  9  19  71   0   0|4992M  382M  183M 2262M|5240B 1621B| 180k   48k|9.01  6.00 |5392  4445 |1.17 1.59 1.08|1.0   0 374|   0     0 |           | 18  291    0   26    0
Mar 24 15:08:56 ubuntu dstat.sh[65379]: 24-03 15:08:56|  7  20  70   0   0|5002M  373M  183M 2262M|4923B 1621B|   0     0 |   0     0 |5796  4665 |1.17 1.59 1.08|1.0   0 355|   0     0 |           | 18  291    0   26    0
Mar 24 15:08:57 ubuntu dstat.sh[65379]: 24-03 15:08:57|  9  20  69   0   0|5016M  358M  183M 2262M|5337B 1619B|   0  3670k|   0  30.0 |6269  5543 |1.17 1.59 1.08|1.0   0 410|   0     0 |           | 18  291    0   26    0
Mar 24 15:08:58 ubuntu dstat.sh[65379]: 24-03 15:08:58|  8  21  69   0   0|5018M  356M  183M 2262M|5168B 1620B|   0   448k|   0  19.0 |6276  5295 |1.31 1.62 1.09|2.0   0 475|   0     0 |           | 18  291    0   26    0
Mar 24 15:08:59 ubuntu dstat.sh[65379]: 24-03 15:08:59|  9  21  68   0   0|5015M  359M  183M 2262M|5371B 1622B|  20k  164k|1.00  18.0 |6803  6143 |1.31 1.62 1.09|3.0   0 516|   0     0 |           | 18  291    0   26    0
Mar 24 15:09:00 ubuntu dstat.sh[65379]: 24-03 15:09:00| 19   7  72   1   0|5042M  277M  183M 2317M|5044B 1459B|  55M  180k| 474  18.0 |4122  4053 |1.31 1.62 1.09|1.0   0  92|   0     0 |           | 18  291    0   26    0
Mar 24 15:09:01 ubuntu dstat.sh[65379]: 24-03 15:09:01|  3   1  94   0   0|5033M  286M  183M 2317M|  20k 2751B|4085B  176k|1.00  19.9 |1653  2285 |1.31 1.62 1.09|  0   0 3.0|   0     0 |           | 18  292    0   26    0
Mar 24 15:09:02 ubuntu dstat.sh[65379]: 24-03 15:09:02|  2   3  94   0   0|5034M  285M  183M 2318M| 401k   14k|4092B 1071k|1.00  32.0 |1974  1973 |1.31 1.62 1.09|  0   0 6.0|   0     0 |           | 18  292    0   26    0
Mar 24 15:09:03 ubuntu dstat.sh[65379]: 24-03 15:09:03|  3   2  93   0   0|5033M  284M  183M 2319M|1092k   35k|   0  4105B|   0  1.00 |2757  2293 |1.29 1.61 1.09|  0   0   0|   0     0 |           | 18  292    0   26    0
Mar 24 15:09:04 ubuntu dstat.sh[65379]: 24-03 15:09:04|  2   1  95   0   0|5034M  283M  183M 2319M| 692k   25k|   0  2080k|   0  4.00 |2239  2078 |1.29 1.61 1.09|  0   0 1.0|   0     0 |           | 18  292    0   26    0
Mar 24 15:09:05 ubuntu dstat.sh[65379]: 24-03 15:09:05|  2   1  94   0   0|5034M  283M  183M 2320M| 486k   12k|   0     0 |   0     0 |1750  1759 |1.29 1.61 1.09|  0   0   0|   0     0 |           | 18  292    0   26    0
Mar 24 15:09:06 ubuntu dstat.sh[65379]: 24-03 15:09:06|  4   2  93   0   0|5023M  293M  183M 2321M| 846k   21k|   0  1287k|   0  2.00 |2522  2317 |1.29 1.61 1.09|  0   0   0|   0     0 |           | 18  292    0   26    0
Mar 24 15:09:07 ubuntu dstat.sh[65379]: 24-03 15:09:07|  5   3  89   0   0|5026M  289M  183M 2321M| 267k 9811B|  32k  312k|1.00  19.0 |3635  5415 |1.29 1.61 1.09|  0   0 1.0|   0     0 |           | 18  292    0   26    0
Mar 24 15:09:08 ubuntu dstat.sh[65379]: 24-03 15:09:08|  6   2  90   0   0|5025M  289M  183M 2322M| 426k   15k|   0  1288k|   0  48.0 |2686  2804 |1.35 1.61 1.10|1.0   0   0|   0     0 |           | 18  292    0   26    0
Mar 24 15:09:09 ubuntu dstat.sh[65379]: 24-03 15:09:09|  7   2  88   0   0|5064M  248M  183M 2324M| 297k   11k|2811k  388k|37.0  11.0 |1999  2057 |1.35 1.61 1.10|1.0   0 3.0|   0     0 |           | 18  291    0   27    0
Mar 24 15:09:10 ubuntu dstat.sh[65379]: 24-03 15:09:10|  9  16  69   3   0|5102M  187M  184M 2346M|4974B 1623B|1203k   30M|18.0  1702 |8548    12k|1.35 1.61 1.10|  0 1.0 137|   0     0 |           | 18  291    0   27    0
Mar 24 15:09:11 ubuntu dstat.sh[65379]: 24-03 15:09:11| 19  10  67   2   0|5080M  203M  184M 2352M|4396B 1457B|  20k   10M|2.00   855 |6066  7252 |1.35 1.61 1.10|1.0   0  75|   0     0 |           | 18  291    0   27    0
Mar 24 15:09:12 ubuntu dstat.sh[65379]: 24-03 15:09:12| 23   8  67   1   0|5060M  222M  184M 2352M|4799B 1619B|   0  1891k|   0   111 |3625  3066 |1.35 1.61 1.10|1.0   0  36|   0     0 |           | 18  291    0   27    0
Mar 24 15:09:13 ubuntu dstat.sh[65379]: 24-03 15:09:13| 24   8  67   1   0|5078M  203M  184M 2353M|4444B 1621B|   0  1293k|   0  76.0 |3496  2863 |1.32 1.60 1.10|1.0   0  34|   0     0 |           | 18  291    0   27    0
Mar 24 15:09:14 ubuntu dstat.sh[65379]: 24-03 15:09:14| 23   7  68   0   0|5074M  201M  184M 2358M|4857B 1619B|  64k 1723k|15.0  68.0 |3584  3530 |1.32 1.60 1.10|2.0   0  23|   0     0 |           | 18  291    0   27    0
Mar 24 15:09:15 ubuntu dstat.sh[65379]: 24-03 15:09:15| 21   5  71   1   0|5112M  162M  184M 2358M|4638B  485B| 104k 5849k|26.0   132 |4473  5985 |1.32 1.60 1.10|1.0   0  17|   0     0 |           | 18  291    0   27    0
Mar 24 15:09:16 ubuntu dstat.sh[65379]: 24-03 15:09:16| 15  13  72   0   0|5142M  155M  184M 2334M|5064B  974B| 601k    0 |48.1     0 |3054  2509 |1.32 1.60 1.10|2.0   0  46|   0     0 |           | 18  291    0   27    0
Mar 24 15:09:17 ubuntu dstat.sh[65379]: 24-03 15:09:17| 25   9  65   1   0|5144M  153M  184M 2334M|5119B 1458B| 200k 2772k|15.0  24.0 |4033    12k|1.32 1.60 1.10|1.0   0  75|   0     0 |           | 18  291    0   28    0
Mar 24 15:09:18 ubuntu dstat.sh[65379]: 24-03 15:09:18| 11   2  84   0   0|5041M  314M  184M 2276M|5148B 1616B|  28k  555k|3.99  30.9 |2036  2084 |1.29 1.59 1.09|  0   0  16|   0     0 |           | 18  291    0   28    0
Mar 24 15:09:19 ubuntu dstat.sh[65379]: 24-03 15:09:19|  1   2  95   0   0|5030M  325M  184M 2276M|5176B 1458B|   0     0 |   0     0 |1072  1429 |1.29 1.59 1.09|  0   0   0|   0     0 |           | 18  291    0   28    0
