Jun 14 13:07:29 jammy-provider-cloud-0000007219 systemd[1]: Started Devstack devstack@dstat.service.
Jun 14 13:07:29 jammy-provider-cloud-0000007219 dstat.sh[57225]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jun 14 13:07:29 jammy-provider-cloud-0000007219 dstat.sh[57225]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 14 13:10:31 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:31| 14  18  66   0   0|1643M 1070M  169M 4862M|5097B 1564B|   0   272k|   0  3.00 |4689  8083 |1.81 1.40 0.74|1.0   0 221|   0     0 |   0     0 | 10   48    5   31    0
Jun 14 13:10:32 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:32|  4   3  93   0   0|1642M 1071M  169M 4862M|5548B 1534B|   0   509k|   0  39.0 |1575  2428 |1.74 1.39 0.74|  0   0  26|   0     0 |   0     0 | 10   48    5   31    0
Jun 14 13:10:33 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:33|  1   0  98   0   0|1643M 1070M  169M 4862M|5142B 1512B|   0  2032k|   0  7.00 | 644  1014 |1.74 1.39 0.74|  0   0 3.0|   0     0 |   0     0 | 10   48    5   31    0
Jun 14 13:10:34 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:34|  1   0  98   0   0|1642M 1071M  169M 4862M|5594B 1457B|   0  4093B|   0  1.00 | 698  1037 |1.74 1.39 0.74|1.0   0 3.0|   0     0 |   0     0 | 10   48    5   31    0
Jun 14 13:10:35 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:35|  1   1  98   0   0|1642M 1071M  169M 4862M|8177B 1457B|   0     0 |   0     0 | 710  1075 |1.74 1.39 0.74|  0   0 3.0|   0     0 |   0     0 | 10   48    5   31    0
Jun 14 13:10:36 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:36| 10  10  78   0   0|1581M 1132M  169M 4863M|5428B 1457B|   0     0 |   0     0 |3133  5027 |1.74 1.39 0.74|2.0   0 169|   0     0 |   0     0 | 10   48    5   31    0
Jun 14 13:10:37 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:37| 14  20  65   0   0|1619M 1094M  169M 4862M|4758B 1135B|   0  4101B|   0  1.00 |4347  7801 |1.84 1.42 0.75|2.0 2.0 245|   0     0 |   0     0 | 10   48    5   31    0
Jun 14 13:10:38 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:38| 11  19  69   0   0|1627M 1087M  169M 4863M|6444B 1515B|   0  1088k|   0  6.00 |2921  4663 |1.84 1.42 0.75|3.0   0 249|   0     0 |   0     0 | 11   48    5   31    0
Jun 14 13:10:39 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:39| 17  14  69   0   0|1635M 1078M  169M 4862M|7134B 1567B|   0   256k|   0  11.0 |3978  8064 |1.84 1.42 0.75|  0   0 212|   0     0 |   0     0 | 11   48    5   25    0
Jun 14 13:10:40 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:40|  5   8  87   0   0|1639M 1074M  169M 4862M|6340B 1738B|   0  4100B|   0  1.00 |1501  2256 |1.84 1.42 0.75|1.0   0 123|   0     0 |   0     0 | 13   48    5   25    0
Jun 14 13:10:41 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:41| 15  15  67   0   0|1641M 1072M  169M 4862M|6590B 1586B|   0    32k|   0  7.00 |3524  7698 |1.84 1.42 0.75|3.0   0 155|   0     0 |   0     0 | 13   50    5   24    0
Jun 14 13:10:42 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:42|  8  19  70   0   0|1640M 1073M  169M 4862M|  42k 1563B|   0   483k|   0  37.9 |2756  4146 |1.78 1.41 0.75|1.0   0 281|   0     0 |   0     0 | 13   50    5   24    0
Jun 14 13:10:43 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:43| 10  19  68   0   0|1640M 1073M  169M 4863M|5995B 1597B|   0  1383k|   0   180 |2636  4224 |1.78 1.41 0.75|5.0   0 292|   0     0 |   0     0 | 13   50    5   22    0
Jun 14 13:10:44 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:44| 24  18  57   0   0|1667M 1046M  169M 4863M|7000B 1665B|   0    12k|   0  1.00 |4916  8364 |1.78 1.41 0.75|2.0   0 234|   0     0 |   0     0 | 13   50    5   22    0
Jun 14 13:10:45 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:45| 37  19  44   0   0|1734M  979M  169M 4863M|4580B 1449B|   0    68k|   0  7.95 |4629    10k|1.78 1.41 0.75|1.0   0 237|   0     0 |   0     0 | 13   50    5   19    0
Jun 14 13:10:46 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:46| 24   7  68   0   0|1803M  909M  169M 4864M|6799B 1624B|  32k   52k|2.00  3.01 |1485  4063 |1.78 1.41 0.75|2.0   0  10|   0     0 |   0     0 | 13   58    5   23    0
Jun 14 13:10:47 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:47| 23   4  73   0   0|1851M  861M  169M 4864M|5947B 1461B|   0   553k|   0  2.00 |1012  1371 |1.71 1.40 0.76|2.0   0 6.0|   0     0 |   0     0 | 13   58    5   21    0
Jun 14 13:10:48 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:48|  8   2  89   0   0|1867M  844M  169M 4864M|4487B 1696B|   0  4095B|   0  1.00 |1407  3043 |1.71 1.40 0.76|1.0   0 3.0|   0     0 |   0     0 | 13   58    5   21    0
Jun 14 13:10:49 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:49|  1   0  98   0   0|1867M  844M  169M 4864M|8327B 1586B|   0  2423k|   0   172 | 713  1042 |1.71 1.40 0.76|1.0   0 1.0|   0     0 |   0     0 | 13   58    5   18    0
Jun 14 13:10:50 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:50| 16  16  67   0   0|1861M  850M  169M 4865M|7626B 1566B|   0    28k|   0  7.00 |3933  8310 |1.71 1.40 0.76|1.0   0 218|   0     0 |   0     0 | 13   56    5   18    0
Jun 14 13:10:51 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:51| 16  14  69   0   0|1865M  846M  169M 4865M|6770B 1694B|   0  4096B|   0  1.00 |3754  5891 |1.71 1.40 0.76|1.0   0 251|   0     0 |   0     0 | 13   56    5   16    0
Jun 14 13:10:52 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:52| 22  16  61   0   0|1863M  848M  169M 4865M|4601B 1533B|   0   596k|   0  42.0 |6068    10k|1.98 1.46 0.78|4.0   0 167|   0     0 |   0     0 | 12   56    5   16    0
Jun 14 13:10:53 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:53| 18  17  63   0   0|1872M  839M  169M 4865M|7322B 1623B|   0    16k|   0  4.01 |5276  9996 |1.98 1.46 0.78|1.0   0 338|   0     0 |   0     0 | 13   50    5   13    0
Jun 14 13:10:54 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:54| 30  16  53   0   0|1669M 1041M  169M 4865M|5659B 1694B|  80k  276k|3.00  3.00 |3173  4997 |1.98 1.46 0.78|2.0   0 379|   0     0 |   0     0 | 13   50    5   16    0
Jun 14 13:10:55 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:55| 34  21  45   0   0|1736M  975M  169M 4865M|9661B 1620B|   0  3389k|   0   198 |4333  8337 |1.98 1.46 0.78|3.0   0 557|   0     0 |   0     0 | 13   50    5   16    0
Jun 14 13:10:56 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:56| 47  17  37   0   0|1828M  882M  169M 4866M|6152B 1584B|   0    12k|   0  3.00 |4208  8381 |1.98 1.46 0.78|2.0   0 218|   0     0 |   0     0 | 13   58    5   20    0
Jun 14 13:10:57 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:57| 45   7  48   0   0|1936M  773M  169M 4866M|4502B 1568B|   0   272k|   0  3.00 |1906  4301 |1.98 1.47 0.79|2.0   0 4.0|   0     0 |   0     0 | 13   58    5   20    0
Jun 14 13:10:58 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:58| 23   3  72   0   0|1977M  730M  170M 4868M|5358B 1780B| 152k   46M|37.9  60.9 |1298  2741 |1.98 1.47 0.79|2.0   0 5.0|   0     0 |   0     0 | 13   60    5   20    0
Jun 14 13:10:59 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:59| 24   5  59  10   0|1983M  709M  170M 4882M|4457B 1552B|   0    33M|   0  2848 |  11k   27k|1.98 1.47 0.79|2.0 1.0 4.0|   0     0 |   0     0 | 13   60    5   20    0
Jun 14 13:11:00 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:00| 37  15  43   4   0|2147M  537M  170M 4889M|8564B 1517B|   0    13M|   0  1197 |9706    26k|1.98 1.47 0.79|2.0   0 101|   0     0 |   0     0 | 14   85    5   25    0
Jun 14 13:11:01 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:01| 14  19  66   0   0|2166M  518M  170M 4890M|5775B 1026B|   0   900k|   0  52.0 |3462  6082 |1.98 1.47 0.79|2.0   0 427|   0     0 |   0     0 | 14   85    5   25    0
Jun 14 13:11:02 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:02| 14  17  66   0   0|2172M  512M  170M 4890M|4637B 1295B|   0  4294k|   0  48.0 |5202  9263 |1.90 1.47 0.79| 16   0 338|   0     0 |   0     0 | 14   85    5   25    0
Jun 14 13:11:03 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:03| 40  11  48   0   0|2274M  410M  170M 4890M|6990B 1243B|   0  2947k|   0   162 |2403  3772 |1.90 1.47 0.79|2.0   0 130|   0     0 |   0     0 | 14   86    5   25    0
Jun 14 13:11:04 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:04| 30  12  57   0   0|2335M  348M  170M 4891M|4441B 1615B|   0  1487k|   0  85.7 |2600  5227 |1.90 1.47 0.79|1.0   0 196|   0     0 |   0     0 | 14   89    5   26    0
Jun 14 13:11:05 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:05|  9  19  72   0   0|2336M  347M  170M 4891M|6655B 1570B|   0  6635k|   0   413 |3690  5957 |1.90 1.47 0.79|1.0   0 534|   0     0 |   0     0 | 14   89    5   26    0
Jun 14 13:11:06 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:06| 15  12  73   0   0|2366M  317M  170M 4891M|4749B 1660B|   0    96k|   0  10.0 |2224  3527 |1.90 1.47 0.79|1.0   0 265|   0     0 |   0     0 | 14   89    5   26    0
Jun 14 13:11:07 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:07| 27   4  68   0   0|2339M  344M  170M 4891M|8300B 1691B|   0     0 |   0     0 |1916  4765 |1.83 1.46 0.79|1.0   0  48|   0     0 |   0     0 | 14   91    5   28    0
Jun 14 13:11:08 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:08| 21   5  73   0   0|2396M  286M  170M 4891M|6113B 1457B|   0   592k|   0  3.00 |1325  1900 |1.83 1.46 0.79|2.0   0  49|   0     0 |   0     0 | 14   92    5   27    0
Jun 14 13:11:09 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:09| 29   3  65   1   0|2438M  244M  170M 4892M|4606B 1787B|   0  5346k|   0   391 |4118  8538 |1.83 1.46 0.79|3.0   0 2.0|   0     0 |   0     0 | 14   98    5   28    0
Jun 14 13:11:10 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:10| 24   7  68   1   0|2433M  249M  170M 4892M|5592B 1620B|   0  1348k|   0   118 |2417  4539 |1.83 1.46 0.79|3.0   0 117|   0     0 |   0     0 | 14  108    5   29    0
Jun 14 13:11:11 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:11| 32   3  62   0   0|2477M  205M  170M 4892M|4632B 1458B|   0  1052k|   0   116 |3359  6397 |1.83 1.46 0.79|4.0   0 2.0|   0     0 |   0     0 | 14  108    5   29    2
Jun 14 13:11:12 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:12| 43   8  48   0   0|2526M  156M  170M 4892M|  43k 1660B|   0   332k|   0  20.0 |1928  2578 |1.84 1.47 0.80|2.0   0  95|   0     0 |   0     0 | 14  108    5   30    0
Jun 14 13:11:13 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:13| 25   5  69   0   0|2514M  168M  170M 4892M|5841B 1532B|   0   248k|   0  11.0 |1487  2096 |1.84 1.47 0.80|1.0   0  55|   0     0 |   0     0 | 14  108    5   31    0
Jun 14 13:11:14 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:14| 22   5  71   0   0|2501M  181M  170M 4892M|8122B 1843B|   0   623k|   0  47.9 |1659  2428 |1.84 1.47 0.80|1.0   0  53|   0     0 |   0     0 | 14  112    6   32    0
Jun 14 13:11:15 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:15| 24   4  72   0   0|2556M  126M  170M 4892M|5535B 1534B|   0   476k|   0  49.1 |1611  2582 |1.84 1.47 0.80|5.0   0 2.0|   0     0 |   0     0 | 14  114    6   32    0
Jun 14 13:11:16 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:16| 22   5  73   0   0|2554M  128M  170M 4892M|4445B 1405B|   0   468k|   0  42.0 |1654  2605 |1.84 1.47 0.80|1.0   0  82|   0     0 |   0     0 | 14  112    6   33    0
Jun 14 13:11:17 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:17| 22   4  73   0   0|2539M  143M  170M 4892M|4424B 1307B|   0   257k|   0  14.0 |1422  2117 |1.84 1.47 0.80|1.0   0  55|   0     0 |   0     0 | 14  112    6   34    0
Jun 14 13:11:18 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:18| 26   3  68   1   0|2566M  116M  170M 4892M|5289B 1566B|   0  1580k|   0   202 |2970  5499 |1.77 1.46 0.80|1.0   0   0|   0     0 |   0     0 | 14  114    6   34    0
Jun 14 13:11:19 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:19| 22   5  72   0   0|2557M  124M  170M 4892M|7147B 1686B|   0  3245k|   0   352 |1965  3062 |1.77 1.46 0.80|1.0   0  53|   0     0 |   0     0 | 14  112    6   35    0
Jun 14 13:11:20 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:20| 27   2  69   0   0|2561M  128M  170M 4885M|5927B 1563B|   0  1681k|   0   143 |2806  5252 |1.77 1.46 0.80|3.0   0   0|   0     0 |   0     0 | 14  114    6   35    0
Jun 14 13:11:21 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:21| 28   5  66   1   0|2550M  139M  170M 4885M|6557B 1606B|  28k  872k|5.00  83.0 |2596  4362 |1.77 1.46 0.80|1.0   0  70|   0     0 |   0     0 | 14  114    6   36    0
Jun 14 13:11:22 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:22| 22   6  71   1   0|2528M  175M  169M 4873M|4799B 1535B| 192k 1887k|9.02   140 |2674  4826 |1.77 1.46 0.80|3.0   0 105|   0     0 |   0     0 | 14  117    6   36    0
Jun 14 13:11:23 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:23| 23   4  72   0   0|2587M  115M  169M 4873M|5218B 1616B| 116k  806k|6.98  47.9 |1363  1952 |1.63 1.43 0.79|2.0   0  44|   0     0 |   0     0 | 14  117    6   37    0
Jun 14 13:11:24 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:24| 26   3  69   1   0|2593M  118M  169M 4864M|5336B 1625B| 413k 5676k| 100   375 |3507  6464 |1.63 1.43 0.79|1.0   0   0|   0     0 |   0     0 | 14  119    6   39    0
Jun 14 13:11:25 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:25| 38  12  49   1   0|2573M  148M  169M 4855M|6190B 1601B|2135k 1307k|56.0   130 |4953  9073 |1.63 1.43 0.79|2.0   0 291|   0     0 |   0     0 | 14  117    6   40    0
Jun 14 13:11:26 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:26| 31   4  65   0   0|2607M  127M  168M 4843M|5330B 1739B| 120k  571k|11.0  44.9 |2335  4021 |1.63 1.43 0.79|1.0   0   0|   0     0 |   0     0 | 14  117    6   40    0
Jun 14 13:11:27 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:27| 10  18  71   0   0|2574M  160M  168M 4843M|5133B 1676B| 124k  381k|8.02  22.1 |2893  4696 |1.63 1.43 0.79|1.0   0 392|   0     0 |   0     0 | 14  117    6   40    0
Jun 14 13:11:28 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:28| 16  16  66   0   0|2584M  149M  168M 4844M|7656B 1656B| 300k  548k|13.0  23.0 |4242  8619 |1.58 1.43 0.79|1.0   0 308|   0     0 |   0     0 | 14  117    6   40    0
Jun 14 13:11:29 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:29| 30  19  50   0   0|2609M  125M  168M 4842M|4714B 1642B|  20k 1755k|2.00   111 |3833  6802 |1.58 1.43 0.79|3.0   0 472|   0     0 |   0     0 | 14  117    6   40    0
Jun 14 13:11:30 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:30| 35  19  42   0   0|2664M  133M  168M 4781M|5052B 1586B|3107k 6423k|84.0   575 |5918    11k|1.58 1.43 0.79|2.0 1.0 348|   0     0 |   0     0 | 14  123    6   40    0
Jun 14 13:11:31 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:31| 53  27  20   0   0|2795M  123M  165M 4664M|6958B 1637B|1757k 4862k|91.0   412 |7010    13k|1.58 1.43 0.79|3.0   0 565|   0     0 |   0     0 | 16  129    6   40    0
Jun 14 13:11:32 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:32| 59  19  20   0   0|2903M  128M  163M 4555M|5770B 1457B|1163k 1443k|95.9   233 |5778    10k|1.58 1.43 0.79|5.0   0 318|   0     0 |   0     0 | 16  129    6   40    0
Jun 14 13:11:33 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:33| 57  26  17   1   0|2980M  139M  160M 4472M|5996B 1458B|2524k 7393k| 175   578 |6303    18k|1.78 1.47 0.81|2.0   0 644|   0     0 |   0     0 | 16  145    6   40    0
Jun 14 13:11:34 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:34| 28  19  51   0   0|3026M  130M  160M 4437M|5530B 1596B|3931k  180k| 228  14.0 |4651  8342 |1.78 1.47 0.81|2.0   0 456|   0     0 |   0     0 | 17  145    6   40    0
Jun 14 13:11:35 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:35| 29  16  53   0   0|3058M  139M  160M 4397M|6940B 1611B|  32k 1514k|3.00   241 |5334  9193 |1.78 1.47 0.81|2.0   0 431|   0     0 |   0     0 | 17  145    6   40    0
Jun 14 13:11:36 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:36| 36  18  43   0   0|3131M  125M  160M 4339M|5019B 1509B|1117k  810k|74.8  67.8 |5273    10k|1.78 1.47 0.81|2.0   0 316|   0     0 |   0     0 | 17  148    6   40    0
Jun 14 13:11:37 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:37| 42  25  33   0   0|3229M  130M  160M 4237M|5249B 1698B|1231k 6427k|23.1   641 |7370    14k|1.78 1.47 0.81|2.0   0 681|   0     0 |   0     0 | 17  159    6   40    0
Jun 14 13:11:38 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:38| 35  23  42   0   0|3320M  127M  160M 4152M|4233B 1620B|8192B 3284k|2.00   333 |6718    13k|1.79 1.48 0.82|3.0   0 640|   0     0 |   0     0 | 17  165    6   40    0
Jun 14 13:11:39 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:39| 18  15  65   0   0|3336M  117M  160M 4146M|4272B 1746B|  40k 2572k|2.00   246 |5866  9889 |1.79 1.48 0.82|2.0   0 289|   0     0 |   0     0 | 17  165    6   40    0
Jun 14 13:11:40 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:40| 42  11  47   0   0|3430M  126M  160M 4045M|6165B 1455B| 124k  287k|6.99  23.0 |2062  3151 |1.79 1.48 0.82|3.0   0 114|   0     0 |   0     0 | 17  167    6   40    0
Jun 14 13:11:41 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:41| 45   7  47   0   0|3516M  141M  160M 3946M|5492B 1557B| 136k 2016k|8.02   328 |1900  2671 |1.79 1.48 0.82|3.0   0 4.0|   0     0 |   0     0 | 17  171    6   40    0
Jun 14 13:11:42 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:42| 31   7  60   0   0|3470M  249M  160M 3885M|  43k 1455B|1692k 1134k|38.9  91.8 |2337  3670 |1.79 1.48 0.82|1.0   0  43|   0     0 |   0     0 | 17  177    6   40    0
Jun 14 13:11:43 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:43| 36  23  42   0   0|3549M  168M  160M 3887M|6388B 1407B| 164k  421k|10.0  35.1 |5544    12k|1.81 1.49 0.83|3.0   0 644|   0     0 |   0     0 | 17  177    6   41    0
Jun 14 13:11:44 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:44| 48  20  31   0   0|3539M  173M  160M 3892M|4401B 1553B|1621k  989k|35.0  50.0 |4950    12k|1.81 1.49 0.83|2.0   0 357|   0     0 |   0     0 | 17  189    6   41    0
Jun 14 13:11:45 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:45| 76  17   7   0   0|3639M  143M  160M 3824M|5993B 1456B|1155k   11M|27.0   548 |3449  6659 |1.81 1.49 0.83|5.0   0 188|   0     0 |   0     0 | 17  200    6   42    0
Jun 14 13:11:46 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:46| 77  18   4   0   0|3770M  117M  161M 3722M|5560B 1534B| 468k 1373k|7.01  63.1 |2799  6493 |1.81 1.49 0.83|4.0   0  54|   0     0 |   0     0 | 17  208    6   43    0
Jun 14 13:11:47 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:47| 65  20  14   0   0|3798M  120M  161M 3691M|5318B 1423B| 132k 1088k|14.0  40.0 |5434    12k|1.81 1.49 0.83|3.0   0 230|   0     0 |   0     0 | 17  213    6   45    0
Jun 14 13:11:48 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:48| 52  26  21   0   0|3777M  136M  161M 3696M|8323B 1528B|  12k  642k|1.00  49.9 |9854    34k|1.99 1.53 0.84|4.0   0 476|   0     0 |   0     0 | 17  215    6   45    0
Jun 14 13:11:49 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:49| 45  21  33   0   0|3795M  119M  161M 3696M|4545B 1407B|   0   529k|   0  39.1 |4926    11k|1.99 1.53 0.84|3.0   0 328|   0     0 |   0     0 | 17  215    6   45    0
Jun 14 13:11:50 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:50| 56  22  21   0   0|3828M  161M  161M 3622M|  10k 1689B|  48k  570k|1.00  60.8 |5705    10k|1.99 1.53 0.84| 20   0 407|   0     0 |   0     0 | 17  215    6   46    0
Jun 14 13:11:51 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:51| 60  25  15   0   0|3929M  127M  161M 3554M|6135B 1538B| 124k  614k|10.0  36.1 |6063    16k|1.99 1.53 0.84|3.0   0 421|   0     0 |   0     0 | 17  219    6   48    0
Jun 14 13:11:52 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:52| 60  20  19   0   0|3972M  122M  161M 3517M|5520B 1639B|4093B   27M|1.00   917 |5483    15k|1.99 1.53 0.84|7.0   0 291|   0     0 |   0     0 | 17  229    6   49    0
Jun 14 13:11:53 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:53| 67  14  19   0   0|4061M  124M  161M 3428M|5120B 1621B|  72k 6305k|12.0   569 |3826  8934 |2.47 1.64 0.88|5.0   0 175|   0     0 |   0     0 | 17  235    6   50    0
Jun 14 13:11:54 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:54| 69   8  22   0   0|4121M  148M  161M 3346M|7994B 1601B| 606k 3465k|49.8   239 |3797  8073 |2.47 1.64 0.88|4.0   0 9.0|   0     0 |   0     0 | 17  248    6   53    0
Jun 14 13:11:55 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:55| 57  20  22   0   0|4148M  136M  161M 3331M|6037B 1661B| 935k 1837k|32.1   182 |5941    14k|2.47 1.64 0.88|5.0   0 423|   0     0 |   0     0 | 17  250    6   58    0
Jun 14 13:11:56 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:56| 44  24  30   1   0|4164M  118M  161M 3333M|5103B 1637B|1438k 1441k|44.9  70.9 |5121    10k|2.47 1.64 0.88|3.0   0 442|   0     0 |   0     0 | 17  251    6   58    0
Jun 14 13:11:57 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:57| 69  20  11   0   0|4216M  128M  161M 3273M|6692B 1461B|3550k 6327k|49.1   563 |4557  9494 |2.47 1.64 0.88|4.0   0 212|   0     0 |   0     0 | 18  253    6   54    0
Jun 14 13:11:58 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:58| 71  16  12   0   0|4270M  144M  161M 3204M|4105B 1657B| 770k  770k|6.99  43.9 |2615  4023 |2.59 1.68 0.90|3.0   0  50|   0     0 |   0     0 | 18  253    6   56    0
Jun 14 13:11:59 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:11:59| 50  16  33   0   0|4312M  144M  161M 3163M|5162B 2608B| 886k  906k|14.0  64.1 |5158  9133 |2.59 1.68 0.90|3.0   0 223|   0     0 |   0     0 | 18  255    6   58    0
Jun 14 13:12:00 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:12:00| 20   5  73   0   0|4320M  136M  161M 3163M|  15k 3033B| 767k  495k|5.99  39.9 |2116  3166 |2.59 1.68 0.90|3.0   0 7.0|   0     0 |   0     0 | 18  256    6   58    0
Jun 14 13:12:01 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:12:01| 21   6  72   0   0|4330M  126M  161M 3163M|  13k 4270B| 544k  396k|6.00  26.0 |2015  3121 |2.59 1.68 0.90|2.0   0  10|   0     0 |   0     0 | 18  260    6   47    0
Jun 14 13:12:02 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:12:02| 18   7  74   0   0|4325M  131M  161M 3163M|6559B 1660B| 768k  252k|6.00  15.0 |2060  3353 |2.59 1.68 0.90|2.0   0  10|   0     0 |   0     0 | 18  263    6   47    0
