Dec 30 07:31:40 jammy-provider-cloud-0000007872 systemd[1]: Started Devstack devstack@dstat.service.
Dec 30 07:31:40 jammy-provider-cloud-0000007872 dstat.sh[58977]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 30 07:31:40 jammy-provider-cloud-0000007872 dstat.sh[58977]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 30 07:39:24 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:24| 26   8  62   1   0|4447M  266M  199M 2827M|  41k 1628B|   0  5373k|   0  51.2 |  28k   63k|1.04 1.40 0.98|3.0   0 7.0|   0     0 |   0     0 | 18  299    0    3    1
Dec 30 07:39:25 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:25| 23   5  72   0   0|4446M  266M  199M 2827M|5537B 1556B|   0  1053k|   0   134 |1524  2221 |1.04 1.40 0.98|2.0   0 3.0|   0     0 |   0     0 | 18  299    0    3    1
Dec 30 07:39:26 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:26| 42   7  51   0   0|4180M  531M  199M 2828M| 274k 5831B| 900k  260k|21.0  14.0 |1864  2408 |1.04 1.40 0.98|2.0   0  21|   0     0 |   0     0 | 18  283    0    7    1
Dec 30 07:39:27 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:27| 60  10  31   0   0|4257M  454M  199M 2829M|5544B 1624B| 417k  205k|20.0  27.1 |1938  2699 |1.12 1.41 0.99|5.0   0 7.0|   0     0 |   0     0 | 18  281    0    7    1
Dec 30 07:39:28 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:28| 88  11   0   0   0|4203M  508M  199M 2829M|5563B 1618B| 363k  783k|20.0  42.9 |2350  3171 |1.12 1.41 0.99|6.0   0 8.0|   0     0 |   0     0 | 18  269    0    8    1
Dec 30 07:39:29 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:29| 78  13   8   0   0|4349M  359M  199M 2832M|5005B 1611B| 660k    0 |64.6     0 |4088  7680 |1.12 1.41 0.99|5.0   0 4.0|   0     0 |   0     0 | 18  270    0   16    1
Dec 30 07:39:30 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:30| 54  11  33   1   0|4390M  315M  199M 2834M|5096B 1573B| 888k 8986k|72.3   804 |5309    22k|1.12 1.41 0.99|4.0   0  11|   0     0 |   0     0 | 18  279    0   18    1
Dec 30 07:39:31 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:31| 34   8  57   0   0|4409M  296M  199M 2835M|5100B 1612B| 701k    0 |17.9     0 |2469  3827 |1.12 1.41 0.99|3.0   0 8.0|   0     0 |   0     0 | 18  277    0   18    1
Dec 30 07:39:32 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:32| 24   6  67   0   0|4382M  323M  199M 2835M|  12k 5374B| 394k  427k|10.1  37.2 |2576  4907 |1.11 1.40 0.99|4.0   0 3.0|   0     0 |   0     0 | 18  267    0   25    1
Dec 30 07:39:33 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:33| 17   5  75   0   0|4422M  281M  199M 2836M| 174k   82k|  28k  326k|4.97  34.8 |5222    12k|1.11 1.40 0.99|1.0   0 2.0|   0     0 |   0     0 | 18  276    0   25    1
Dec 30 07:39:34 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:34|  1   0  96   0   0|4422M  281M  199M 2836M|5840B 1619B|   0   332k|   0  11.0 |1097  1818 |1.11 1.40 0.99|2.0   0   0|   0     0 |   0     0 | 18  276    0   25    1
Dec 30 07:39:35 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:35|  1   1  96   0   0|4422M  281M  199M 2836M|7920B 1619B|   0   116k|   0  7.99 |1103  1988 |1.11 1.40 0.99|1.0   0   0|   0     0 |   0     0 | 18  276    0   25    1
Dec 30 07:39:36 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:36|  2   1  96   0   0|4422M  281M  199M 2836M|5768B 1619B|   0   568k|   0  42.0 |1181  2046 |1.11 1.40 0.99|1.0   0   0|   0     0 |   0     0 | 18  276    0   25    1
Dec 30 07:39:37 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:37|  4   1  95   0   0|4422M  281M  199M 2836M|5078B 1620B|   0   424k|   0  30.0 |1297  2230 |1.02 1.38 0.98|2.0   0   0|   0     0 |   0     0 | 18  276    0   25    1
Dec 30 07:39:38 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:38|  2   0  96   0   0|4422M  281M  199M 2836M|  11k 1466B|   0   253k|   0  16.1 |1145  1835 |1.02 1.38 0.98|1.0   0   0|   0     0 |   0     0 | 18  276    0   25    1
Dec 30 07:39:39 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:39|  2   1  96   0   0|4422M  281M  199M 2836M|6929B 1608B|   0     0 |   0     0 |1025  1650 |1.02 1.38 0.98|1.0   0   0|   0     0 |   0     0 | 18  276    0   25    1
Dec 30 07:39:40 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:40|  2   1  96   0   0|4423M  281M  199M 2836M|6057B 1632B|   0     0 |   0     0 |1139  1974 |1.02 1.38 0.98|1.0   0 1.0|   0     0 |   0     0 | 18  276    0   25    1
Dec 30 07:39:41 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:41|  2   0  96   0   0|4423M  281M  199M 2836M|5424B 1603B|   0     0 |   0     0 |1031  1782 |1.02 1.38 0.98|1.0   0   0|   0     0 |   0     0 | 18  276    0   25    1
Dec 30 07:39:42 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:42|  2   1  97   0   0|4423M  281M  199M 2836M|4973B 1630B|   0     0 |   0     0 | 999  1731 |1.02 1.37 0.98|1.0   0   0|   0     0 |   0     0 | 18  276    0   25    1
Dec 30 07:39:43 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:43|  2   1  95   0   0|4423M  280M  199M 2836M|6636B 1618B|   0   136k|   0  22.0 |1343  2372 |1.02 1.37 0.98|2.0   0   0|   0     0 |   0     0 | 18  276    0   25    1
Dec 30 07:39:44 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:44|  2   1  96   0   0|4423M  280M  199M 2836M|5378B 1620B|   0   248k|   0  18.0 |1095  1886 |1.02 1.37 0.98|1.0   0   0|   0     0 |   0     0 | 18  276    0   25    1
Dec 30 07:39:45 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:45|  2   0  97   0   0|4423M  280M  199M 2836M|5228B 1458B|   0    32k|   0  4.00 |1055  1936 |1.02 1.37 0.98|1.0   0   0|   0     0 |   0     0 | 18  276    0   25    1
Dec 30 07:39:46 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:46|  2   1  96   0   0|4423M  280M  199M 2836M|5232B 1622B|   0     0 |   0     0 |1048  1772 |1.02 1.37 0.98|1.0   0   0|   0     0 |   0     0 | 18  276    0   25    1
Dec 30 07:39:47 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:47|  3   1  94   0   0|4425M  278M  199M 2837M|4823B 1662B|   0    20M|   0   100 |1495  2533 |0.94 1.35 0.98|1.0   0   0|   0     0 |   0     0 | 18  276    0   25    1
Dec 30 07:39:48 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:48|  3   1  95   0   0|4425M  278M  199M 2837M|4943B 1618B|   0  1023k|   0  42.9 |1472  2605 |0.94 1.35 0.98|1.0   0   0|   0     0 |   0     0 | 18  276    0   25    1
Dec 30 07:39:49 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:49|  2   1  96   0   0|4425M  278M  199M 2837M|8018B 1622B|   0  1173k|   0  1.00 |1010  1693 |0.94 1.35 0.98|2.0   0   0|   0     0 |   0     0 | 18  276    0   25    1
Dec 30 07:39:50 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:50|  2   1  96   0   0|4426M  277M  199M 2837M|6216B 1620B|   0  8192B|   0  2.00 |1176  2134 |0.94 1.35 0.98|1.0   0 1.0|   0     0 |   0     0 | 18  276    0   25    1
Dec 30 07:39:51 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:51|  9  14  76   0   0|4438M  265M  199M 2837M|5772B 1468B|  16k 4438k|3.02   491 |3587  5839 |0.94 1.35 0.98|1.0   0 487|   0     0 |   0     0 | 18  276    0   25    1
Dec 30 07:39:52 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:52| 10  19  69   0   0|4448M  255M  199M 2837M|5738B 1688B|   0    63M|   0   510 |4659  7855 |1.02 1.36 0.98|2.0   0 469|   0     0 |   0     0 | 18  276    0   25    1
Dec 30 07:39:53 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:53| 14  24  61   0   0|4456M  246M  199M 2837M|5707B 1713B| 931k 1927k|19.0  23.0 |5176    12k|1.02 1.36 0.98|1.0   0 657|   0     0 |   0     0 | 18  276    0   26    1
Dec 30 07:39:54 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:54|  9  19  70   0   0|4458M  245M  199M 2838M|  41k 1622B|  20k  260k|1.00  18.0 |3248  5135 |1.02 1.36 0.98|1.0   0 373|   0     0 |   0     0 | 18  276    0   25    1
Dec 30 07:39:55 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:55| 15   5  77   0   0|4473M  228M  199M 2839M|6534B 2281B|1438k   79k|27.8  3.97 |2877  4973 |1.02 1.36 0.98|1.0   0 117|   0     0 |   0     0 | 18  277    0   25    1
Dec 30 07:39:56 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:56|  2   1  96   0   0|4473M  228M  199M 2839M|  96k 3799B|   0  4097B|   0  1.00 |1120  1796 |1.02 1.36 0.98|1.0   0   0|   0     0 |   0     0 | 18  277    0   25    1
Dec 30 07:39:57 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:57|  4   1  93   0   0|4474M  227M  199M 2840M| 463k   13k|   0   748k|   0  38.0 |1899  2793 |0.94 1.34 0.98|1.0   0   0|   0     0 |   0     0 | 18  277    0   25    1
Dec 30 07:39:58 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:58|  4   2  92   0   0|4474M  226M  199M 2840M|1160k   31k|   0   472k|   0  33.0 |2304  2761 |0.94 1.34 0.98|1.0   0   0|   0     0 |   0     0 | 18  277    0   25    1
Dec 30 07:39:59 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:39:59|  2   0  96   0   0|4474M  226M  199M 2841M| 256k   11k|   0  1861k|   0  3.00 |1333  1881 |0.94 1.34 0.98|1.0   0   0|   0     0 |   0     0 | 18  277    0   25    1
Dec 30 07:40:00 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:00|  4   2  95   0   0|4474M  225M  199M 2841M| 369k 9890B|   0     0 |   0     0 |1586  2303 |0.94 1.34 0.98|1.0   0 1.0|   0     0 |   0     0 | 18  277    0   25    1
Dec 30 07:40:01 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:01|  2   1  94   0   0|4474M  224M  199M 2842M| 776k   19k|   0  1129k|   0  1.00 |1825  2288 |0.94 1.34 0.98|  0   0   0|   0     0 |   0     0 | 18  277    0   25    1
Dec 30 07:40:02 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:02|  3   1  95   0   0|4474M  224M  199M 2842M| 270k 8448B|   0   268k|   0  5.00 |1347  2027 |0.86 1.31 0.97|  0   0   0|   0     0 |   0     0 | 18  277    0   25    1
Dec 30 07:40:03 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:03|  3   1  94   0   0|4474M  224M  199M 2842M| 248k 7428B|   0   376k|   0  27.0 |1680  2570 |0.86 1.31 0.97|2.0   0   0|   0     0 |   0     0 | 18  277    0   25    1
Dec 30 07:40:04 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:04|  3   1  95   0   0|4474M  223M  199M 2843M| 296k 9095B|   0   768k|   0  22.9 |1420  2112 |0.86 1.31 0.97|1.0   0   0|   0     0 |   0     0 | 18  277    0   25    1
Dec 30 07:40:05 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:05| 13   5  77   2   0|4505M  175M  200M 2859M| 196k 6235B|5826k   12M| 225  69.4 |4866  8658 |0.86 1.31 0.97|3.0   0  34|   0     0 |   0     0 | 18  276    0   26    1
Dec 30 07:40:06 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:06|  9  14  70   5   0|4508M  161M  201M 2870M|7820B 1566B| 236k   22M|22.0  1781 |7172    13k|0.86 1.31 0.97|2.0   0 136|   0     0 |   0     0 | 18  276    0   26    1
Dec 30 07:40:07 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:07| 22  10  67   1   0|4497M  169M  201M 2872M|5252B 1624B|   0  5314k|   0   435 |3425  5672 |0.88 1.31 0.97|3.0   0  69|   0     0 |   0     0 | 18  276    0   26    1
Dec 30 07:40:08 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:08| 22   8  67   1   0|4500M  165M  201M 2872M|  13k 1607B|   0  1845k|   0   105 |2437  3424 |0.88 1.31 0.97|4.0   0  58|   0     0 |   0     0 | 18  276    0   26    1
Dec 30 07:40:09 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:09| 23   7  69   1   0|4500M  162M  201M 2874M|6548B 1629B|   0  1488k|   0  60.3 |2292  3190 |0.88 1.31 0.97|2.0   0  47|   0     0 |   0     0 | 18  276    0   26    1
Dec 30 07:40:10 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:10| 19  10  68   1   0|4487M  162M  201M 2888M|5995B 1618B| 567k 5059k|50.0   135 |2430  4047 |0.88 1.31 0.97|1.0   0  44|   0     0 |   0     0 | 18  276    0   26    1
Dec 30 07:40:11 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:11| 21   9  69   1   0|4497M  149M  201M 2890M|4900B 1618B|1822k  699k| 447   140 |2459  4142 |0.88 1.31 0.97|2.0   0  10|   0     0 |   0     0 | 18  276    0   26    1
Dec 30 07:40:12 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:12| 19  10  69   0   0|4494M  151M  201M 2891M|6406B 1514B|  68k    0 |2.00     0 |2243  3093 |0.89 1.30 0.97|2.0   0  54|   0     0 |   0     0 | 18  276    0   26    1
Dec 30 07:40:13 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:13| 22  18  57   1   0|4489M  154M  201M 2893M|5838B 1857B|2726k  264k| 147  15.0 |6113    11k|0.89 1.30 0.97|5.0   0 108|   0     0 |   0     0 | 17  276    0   26    1
Dec 30 07:40:14 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:14| 29   5  64   0   0|4201M  441M  201M 2894M|5396B 1427B| 748k  315k|33.8  8.96 |1869  2502 |0.89 1.30 0.97|6.0   0 3.0|   0     0 |   0     0 | 18  268    0   30    1
Dec 30 07:40:15 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:15| 25   4  71   0   0|4262M  379M  201M 2894M|5595B 1732B|  32k  124k|8.00  9.00 |1373  2161 |0.89 1.30 0.97|4.0   0 2.0|   0     0 |   0     0 | 18  268    0   30    1
Dec 30 07:40:16 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:16| 28   9  62   1   0|4323M  297M  201M 2916M|5561B 1635B|  19M  178k| 234  3.03 |3052  6552 |0.89 1.30 0.97|3.0 2.0  25|   0     0 |   0     0 | 18  276    0   34    1
Dec 30 07:40:17 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:17| 28   9  61   1   0|4183M  434M  202M 2918M|5419B 2007B|1321k 1126k| 134  42.6 |2913  4526 |0.97 1.31 0.98|3.0   0  61|   0     0 |   0     0 | 18  268    1   36    1
Dec 30 07:40:18 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:18| 29   6  65   0   0|4196M  421M  202M 2918M|4739B 1694B|   0   794k|   0  79.6 |2701  4619 |0.97 1.31 0.98|2.0   0  22|   0     0 |   0     0 | 18  268    1   36    1
Dec 30 07:40:19 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:19| 20   6  73   0   0|4124M  548M  202M 2865M|5286B 1676B|  63k 2380k|3.97   146 |2270  3649 |0.97 1.31 0.98|1.0   0  42|   0     0 |   0     0 | 18  268    1   36    1
Dec 30 07:40:20 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:20|  3   1  95   0   0|4124M  548M  202M 2865M|5530B 1790B|   0   388k|   0  2.00 |1112  2031 |0.97 1.31 0.98|1.0   0 1.0|   0     0 |   0     0 | 18  268    1   36    1
Dec 30 07:40:21 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:21|  1   0  96   0   0|4124M  548M  202M 2865M|4888B 1565B|   0   212k|   0  9.99 |1003  1799 |0.97 1.31 0.98|1.0   0   0|   0     0 |   0     0 | 18  268    1   36    1
Dec 30 07:40:22 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:22|  2   1  96   0   0|4125M  547M  202M 2865M|5961B 1706B|   0  4311k|   0   558 |1259  1914 |0.98 1.31 0.98|1.0   0   0|   0     0 |   0     0 | 18  268    1   36    1
Dec 30 07:40:23 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:23|  3   1  95   0   0|4125M  547M  202M 2865M|4506B 1619B|   0   264k|   0  25.0 |1267  2307 |0.98 1.31 0.98|3.0   0   0|   0     0 |   0     0 | 18  268    1   36    1
Dec 30 07:40:24 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:24|  1   1  95   0   0|4125M  547M  202M 2865M|  41k 1877B|   0   360k|   0  25.0 |1082  1827 |0.98 1.31 0.98|1.0   0   0|   0     0 |   0     0 | 18  268    1   36    1
Dec 30 07:40:25 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:25|  3   1  96   0   0|4125M  547M  202M 2865M|5045B 1516B|   0    36k|   0  4.01 |1043  1905 |0.98 1.31 0.98|2.0   0   0|   0     0 |   0     0 | 18  268    1   36    1
Dec 30 07:40:26 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:26|  2   1  95   0   0|4125M  547M  202M 2865M|5878B 1619B|   0    88k|   0  13.0 |1314  2173 |0.98 1.31 0.98|1.0   0   0|   0     0 |   0     0 | 18  268    1   36    1
Dec 30 07:40:27 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:27|  2   1  95   0   0|4125M  547M  202M 2865M|7830B 2009B|   0   244k|   0  24.0 |1337  2307 |0.90 1.29 0.97|1.0   0   0|   0     0 |   0     0 | 18  268    2   32    1
Dec 30 07:40:28 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:28|  3   1  94   1   0|4125M  547M  202M 2865M|6014B 1743B|   0  5089k|   0   517 |1603  2210 |0.90 1.29 0.97|2.0   0   0|   0     0 |   0     0 | 18  268    2   32    1
Dec 30 07:40:29 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:29|  1   1  96   0   0|4125M  547M  202M 2865M|5742B 1612B|   0     0 |   0     0 | 962  1652 |0.90 1.29 0.97|1.0   0   0|   0     0 |   0     0 | 18  268    2   24    1
Dec 30 07:40:30 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:30|  4   1  95   0   0|4125M  547M  202M 2865M|5305B 1790B|   0   176k|   0  11.0 |1147  2111 |0.90 1.29 0.97|1.0   0 1.0|   0     0 |   0     0 | 18  268    2   24    1
Dec 30 07:40:31 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:31|  2   0  96   0   0|4125M  547M  202M 2865M|4905B 1511B|   0    32k|   0  4.00 | 920  1638 |0.90 1.29 0.97|1.0   0   0|   0     0 |   0     0 | 18  268    2   21    1
Dec 30 07:40:32 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:32|  2   1  96   0   0|4125M  547M  202M 2865M|5029B 1702B|   0  4115B|   0  1.00 |1067  1747 |0.83 1.27 0.97|  0   0   0|   0     0 |   0     0 | 18  268    2   21    1
Dec 30 07:40:33 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:33|  4   1  94   0   0|4125M  547M  202M 2865M|6824B 1710B|   0   164k|   0  23.9 |1398  2357 |0.83 1.27 0.97|  0   0   0|   0     0 |   0     0 | 18  268    2   14    1
Dec 30 07:40:34 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:34|  2   1  96   0   0|4125M  547M  202M 2865M|5922B 1874B|   0   283k|   0  19.0 |1118  1859 |0.83 1.27 0.97|1.0   0   0|   0     0 |   0     0 | 18  268    2   14    1
Dec 30 07:40:35 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:35|  3   1  96   0   0|4125M  547M  202M 2865M|6850B 1620B|   0    60k|   0  4.00 |1121  2026 |0.83 1.27 0.97|1.0   0   0|   0     0 |   0     0 | 18  268    2   14    1
Dec 30 07:40:36 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:36|  2   1  96   0   0|4125M  547M  202M 2865M|5773B 1620B|   0    48k|   0  6.00 | 981  1724 |0.83 1.27 0.97|1.0   0   0|   0     0 |   0     0 | 18  268    2   14    1
Dec 30 07:40:37 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:37|  1   1  95   0   0|4125M  547M  202M 2865M|4761B 1784B|   0   128k|   0  20.1 |1348  2346 |0.76 1.24 0.96|  0   0   0|   0     0 |   0     0 | 18  268    3   14    1
Dec 30 07:40:38 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:38|  2   1  96   0   0|4125M  546M  202M 2865M|  11k 1780B|   0  1418k|   0  23.9 |1141  1892 |0.76 1.24 0.96|1.0   0   0|   0     0 |   0     0 | 18  268    3   14    1
Dec 30 07:40:39 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:39|  2   1  97   0   0|4125M  546M  202M 2865M|7262B 1621B|   0     0 |   0     0 | 978  1631 |0.76 1.24 0.96|1.0   0   0|   0     0 |   0     0 | 18  268    3   14    1
Dec 30 07:40:40 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:40|  3   2  95   0   0|4125M  546M  202M 2865M|6601B 1838B|   0   108k|   0  16.1 |1268  2263 |0.76 1.24 0.96|  0   0 1.0|   0     0 |   0     0 | 18  268    3   14    1
Dec 30 07:40:41 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:41|  1   0  96   0   0|4125M  546M  202M 2865M|5668B 1696B|   0   323k|   0  15.9 |1007  1738 |0.76 1.24 0.96|1.0   0   0|   0     0 |   0     0 | 18  268    3   14    1
Dec 30 07:40:42 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:42|  3   1  97   0   0|4125M  546M  202M 2865M|4874B 1796B|   0   699k|   0   138 |1020  1699 |0.70 1.22 0.96|1.0   0   0|   0     0 |   0     0 | 18  268    3   14    1
Dec 30 07:40:43 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:43|  2   1  94   0   0|4126M  546M  202M 2865M|4791B 1612B|   0    52M|   0  81.6 |1389  2409 |0.70 1.22 0.96|2.0   0   0|   0     0 |   0     0 | 18  268    3   14    1
Dec 30 07:40:44 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:44|  1   1  96   0   0|4126M  546M  202M 2865M|7043B 1786B|   0   316k|   0  20.0 |1051  1805 |0.70 1.22 0.96|1.0   0   0|   0     0 |   0     0 | 18  268    3   14    1
Dec 30 07:40:45 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:45|  2   1  96   0   0|4126M  546M  202M 2865M|7623B 1664B|   0    36k|   0  4.00 |1053  1983 |0.70 1.22 0.96|1.0   0   0|   0     0 |   0     0 | 18  268    3   14    1
Dec 30 07:40:46 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:46|  1   0  97   0   0|4126M  546M  202M 2865M|5323B 1619B|   0     0 |   0     0 | 984  1714 |0.70 1.22 0.96|1.0   0   0|   0     0 |   0     0 | 18  268    3   14    1
Dec 30 07:40:47 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:47|  5   1  94   0   0|4126M  546M  202M 2865M|5394B 1940B|   0   260k|   0  21.0 |1447  2326 |0.64 1.20 0.95|2.0   0 3.0|   0     0 |   0     0 | 18  268    4   14    1
Dec 30 07:40:48 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:48|  3   1  95   0   0|4126M  546M  202M 2865M|4936B 1861B|   0   452k|   0  45.0 |1413  2557 |0.64 1.20 0.95|1.0   0   0|   0     0 |   0     0 | 18  268    4   14    1
Dec 30 07:40:49 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:49|  3   2  95   0   0|4126M  545M  202M 2865M|7155B 1714B|   0     0 |   0     0 |1073  1775 |0.64 1.20 0.95|2.0   0 5.0|   0     0 |   0     0 | 18  268    4   14    1
Dec 30 07:40:50 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:50| 26   4  70   1   0|4158M  511M  202M 2866M|6927B 1628B|1970k  260k| 138  15.0 |2409  4630 |0.64 1.20 0.95|3.0   0 3.0|   0     0 |   0     0 | 18  271    4   14    1
Dec 30 07:40:51 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:51| 24   3  71   0   0|4162M  507M  202M 2866M|5735B 1629B|  12k 1054k|3.02  34.2 |1828  2860 |0.64 1.20 0.95|2.0   0 7.0|   0     0 |   0     0 | 18  275    4   16    1
Dec 30 07:40:52 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:52| 24   4  71   1   0|4162M  506M  202M 2867M|6989B 1832B|  16k  220k|1.00  31.0 |2253  3533 |0.67 1.20 0.95|1.0   0 7.0|   0     0 |   0     0 | 18  276    4   18    1
Dec 30 07:40:53 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:53| 29   6  64   0   0|4158M  510M  202M 2867M|7218B 1709B|   0   343k|   0  48.9 |2824  6099 |0.67 1.20 0.95|2.0   0  48|   0     0 |   0     0 | 18  276    4   19    1
Dec 30 07:40:54 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:54| 24   3  71   0   0|4166M  502M  202M 2867M|  40k 1889B|   0   207k|   0  20.9 |2025  2942 |0.67 1.20 0.95|2.0   0 7.0|   0     0 |   0     0 | 18  276    4   20    1
Dec 30 07:40:55 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:40:55| 65   9  25   0   0|3715M  953M  202M 2867M|5344B 1634B|4131B  383k|1.01  35.3 |2542  3864 |0.67 1.20 0.95|4.0   0  21|   0     0 |   0     0 | 18  258    4   22    1
